Updated 04/25/25 at 12:07am,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Keaton Mitchell,RB61,RB,BAL,2430,23.3,No,RB61,2056,,0
RJ Harvey,RB62,RB,FA,2402,-1.0,Yes,RB63,2010,,0
Dalton Schultz,TE31,TE,HOU,2397,28.8,No,TE31,2063,,0
Jaxson Dart,QB31,QB,FA,2370,-1.0,Yes,QB27,3769,,0
Jalen Royals,WR86,WR,FA,2333,-1.0,Yes,WR86,1969,,0
Parker Washington,WR87,WR,JAC,2332,23.1,No,WR88,1945,,0
Jaleel McLaughlin,RB63,RB,DEN,2330,24.6,No,RB67,1922,,0
Nick Chubb,RB64,RB,CLE,2324,29.3,No,RB64,1980,,0
2026 Late 3rd,,PI,,2294,,,,1967,,0
Roman Wilson,WR88,WR,PIT,2293.99,23.8,No,WR87,1955,,0
Roschon Johnson,RB65,RB,CHI,2287,24.2,No,RB68,1865,,0
Luke McCaffrey,WR89,WR,WAS,2280,24.1,No,WR89,1936,,0
Kimani Vidal,RB66,RB,LAC,2259,23.6,No,RB69,1800,,0
Harold Fannin,TE32,TE,FA,2257,-1.0,Yes,TE33,1946,,0
2027 Mid 3rd,,PI,,2233,,,,1971,,0
Elijah Moore,WR90,WR,CLE,2224,25.1,No,WR92,1850,,0
Sean Tucker,RB67,RB,TBB,2223,23.5,No,RB65,1952,,0
Hunter Henry,TE33,TE,NEP,2214,30.4,No,TE32,1963,,0
Malik Washington,WR91,WR,MIA,2201,24.3,No,WR91,1870,,0
Tre Tucker,WR92,WR,LVR,2198,24.1,No,WR93,1829,,0
Austin Ekeler,RB68,RB,WAS,2197,29.9,No,RB66,1943,,0
Xavier Restrepo,WR93,WR,FA,2191,-1.0,Yes,WR96,1792,,0
Dyami Brown,WR94,WR,JAC,2174,25.5,No,WR98,1775,,0
Quinn Ewers,QB32,QB,FA,2171,-1.0,Yes,QB37,2195,,0
Damien Martinez,RB69,RB,FA,2162,-1.0,Yes,RB72,1763,,0
DJ Giddens,RB70,RB,FA,2152,-1.0,Yes,RB62,2013,,0
Adam Thielen,WR95,WR,CAR,2123,34.7,No,WR95,1796,,0
Jack Bech,WR96,WR,FA,2101,-1.0,Yes,WR90,1890,,0
Joe Milton,QB33,QB,DAL,2093,25.1,No,QB34,2402,,0
Isaiah Davis,RB71,RB,NYJ,2077,23.2,No,RB70,1780,,0
Tutu Atwell,WR97,WR,LAR,2073,25.5,No,WR94,1810,,0
Gabriel Davis,WR98,WR,JAC,2063,26.1,No,WR97,1782,,0
Zach Ertz,TE34,TE,WAS,2062,34.4,No,TE34,1840,,0
Will Shipley,RB72,RB,PHI,2061.99,22.6,No,RB71,1762.99,,0
2027 Late 3rd,,PI,,2053,,,,1838,,0
Elijah Arroyo,TE35,TE,FA,2052,-1.0,Yes,TE36,1793,,0
Javon Baker,WR99,WR,NEP,2037,23.2,No,WR100,1725,,0
Elijah Mitchell,RB73,RB,KCC,2035,27.0,No,RB74,1694,,0
DeAndre Hopkins,WR100,WR,BAL,2021,32.9,No,WR99,1748,,0
Trey Palmer,WR101,WR,TBB,2013,24.1,No,WR107,1615,,0
Juwan Johnson,TE36,TE,NOS,1996,28.6,No,TE35,1811,,0
2025 Early 4th,,PI,,1986,,,,1799.99,,0
John Metchie,WR102,WR,HOU,1985,24.8,No,WR104,1664,,0
Kareem Hunt,RB74,RB,KCC,1980,29.7,No,RB73,1731,,0
Jalen Tolbert,WR103,WR,DAL,1972,26.2,No,WR103,1682,,0
Jalin Hyatt,WR104,WR,NYG,1970,23.6,No,WR109,1567,,0
Devaughn Vele,WR105,WR,DEN,1963,27.4,No,WR108,1604,,0
Antonio Gibson,RB75,RB,NEP,1941,26.8,No,RB77,1614,,0
Jahan Dotson,WR106,WR,PHI,1939,25.1,No,WR101,1714,,0
Erick All,TE37,TE,CIN,1938.99,24.6,No,TE38,1709,,0
Malachi Corley,WR107,WR,NYJ,1936,23.1,No,WR105,1656,,0
Darius Slayton,WR108,WR,NYG,1921,28.3,No,WR102,1687,,0
Noah Fant,TE38,TE,SEA,1914,27.4,No,TE37,1744,,0
Jermaine Burton,WR109,WR,CIN,1889,23.8,No,WR106,1617,,0
Kenneth Gainwell,RB76,RB,PIT,1888.99,26.1,No,RB79,1508,,0
AJ Barner,TE39,TE,SEA,1880,23.0,No,TE42,1516,,0
2026 Early 4th,,PI,,1877,,,,1673,,0
Devin Singletary,RB77,RB,NYG,1857,27.6,No,RB75,1663.99,,0
2025 Mid 4th,,PI,,1854,,,,1739,,0
Justice Hill,RB78,RB,BAL,1846,27.4,No,RB78,1566,,0
Russell Wilson,QB34,QB,NYG,1826,36.4,No,QB32,2491,,0
